Wall Clock,Time,Iteration,Deflection,Total Weight,Bar Number
10.1159,0.028014,0,0.0006791,108.741,10241
19.7266,0.054027,1,0.000679493,103.204,10241
28.8421,0.08004,2,0.000680394,97.8623,10241
37.4981,0.106053,3,0.000681759,92.852,10241
45.8091,0.132066,4,0.000683701,87.9717,10241
53.8098,0.158079,5,0.000686131,83.5178,10241
61.7134,0.184092,6,0.000689248,79.2633,10241
69.3659,0.210105,7,0.000692941,75.1768,10241
76.9762,0.236118,8,0.00069757,71.2794,10241
84.5338,0.262131,9,0.000703117,67.6113,10241
92.052,0.288144,10,0.000710069,64.2092,10241
99.431,0.314157,11,0.000718768,60.8581,10241
106.783,0.34017,12,0.000729353,57.6793,10241
114.134,0.366183,13,0.000741916,54.7088,10241
121.505,0.392196,14,0.00075703,51.8834,10241
128.817,0.418209,15,0.000772358,49.2246,10241
136.078,0.444222,16,0.000798949,46.6998,10241
143.315,0.470235,17,0.000825638,44.2037,10241
150.532,0.496248,18,0.000863083,41.8833,10241
157.657,0.522261,19,0.000908108,39.7289,10241
164.724,0.548274,20,0.000993156,37.5443,10241
171.772,0.574287,21,0.00110358,35.3219,10241
178.676,0.6003,22,0.00117713,33.2742,10241
185.518,0.626313,23,0.00128025,31.2098,10241
192.258,0.652326,24,0.001621,29.3267,10241
198.92,0.678339,25,0.00210956,27.4468,10241
205.599,0.704352,26,0.00322413,25.4781,10241
212.25,0.730365,27,0.00512901,23.4493,10241
218.854,0.756378,28,0.0635266,21.4041,10241
225.076,0.782391,28,nan,22.4036,10241
231.185,0.808404,29,nan,21.0021,10241
237.24,0.834417,30,nan,19.5721,10241
243.237,0.86043,31,nan,17.9315,10241
249.184,0.886443,32,nan,16.5653,10241
255.105,0.912456,33,nan,15.0221,10241
260.91,0.938469,34,nan,13.5608,10241
266.688,0.964482,35,nan,12.4934,10241
272.464,0.990495,36,nan,12.1263,10241
