Wall Clock,Time,Iteration,Deflection,Total Weight,Bar Number
9.81346,0.028014,0,0.00153052,107.583,10141
19.0925,0.054027,1,0.00153134,102.251,10141
27.9275,0.08004,2,0.00153309,97.0023,10141
36.413,0.106053,3,0.00153582,92.1125,10141
44.6903,0.132066,4,0.00153932,87.3439,10141
52.8294,0.158079,5,0.00154421,82.9247,10141
60.8025,0.184092,6,0.00155082,78.5937,10141
68.6757,0.210105,7,0.00155875,74.5512,10141
76.4976,0.236118,8,0.00156816,70.7807,10141
84.2628,0.262131,9,0.00158067,67.0856,10141
91.8182,0.288144,10,0.00159395,63.7229,10141
99.3254,0.314157,11,0.00161355,60.4929,10141
106.534,0.34017,12,0.00163539,57.4049,10141
113.684,0.366183,13,0.00166031,54.406,10141
120.773,0.392196,14,0.00168757,51.5959,10141
127.711,0.418209,15,0.0017322,48.8035,10141
134.6,0.444222,16,0.00177857,46.1877,10141
141.373,0.470235,17,0.00183315,43.8172,10141
148.113,0.496248,18,0.00189446,41.6031,10141
154.84,0.522261,19,0.00197853,39.4426,10141
161.557,0.548274,20,0.0020845,37.4015,10141
168.27,0.574287,21,0.00223596,35.2322,10141
174.954,0.6003,22,0.00240468,33.268,10141
181.672,0.626313,23,0.0025594,31.2986,10141
188.35,0.652326,24,0.003296,29.5699,10141
194.989,0.678339,25,0.00379549,27.6431,10141
201.653,0.704352,26,0.00460194,26.0303,10141
208.284,0.730365,27,0.139636,24.54,10141
214.889,0.756378,27,0.00524657,25.279,10141
221.514,0.782391,28,0.144535,23.7329,10141
228.114,0.808404,28,0.0205529,24.4905,10141
234.732,0.834417,28,0.00549573,24.5215,10141
241.46,0.86043,29,0.063951,22.9187,10141
248.112,0.886443,29,0.145367,23.7322,10141
254.727,0.912456,29,0.144645,23.708,10141
261.424,0.938469,29,0.00542785,24.5215,10141
268.082,0.964482,30,0.0540975,22.8676,10141
274.729,0.990495,30,0.00702002,23.6814,10141
281.385,1.01651,31,0.0599968,22.2023,10141
288.014,1.04252,31,0.152564,22.9537,10141
294.662,1.06853,31,0.0594139,22.93,10141
301.331,1.09455,31,0.00678293,23.6814,10141
307.987,1.12056,32,0.0613962,22.2001,10141
314.62,1.14657,32,0.141626,22.9415,10141
321.267,1.17259,32,0.0597058,22.94,10141
327.912,1.1986,32,0.00704391,23.6814,10141
334.574,1.22461,33,0.0613907,22.2094,10141
341.213,1.25062,33,0.141631,22.9504,10141
347.868,1.27664,33,0.0595424,22.9404,10141
354.542,1.30265,33,0.0069968,23.6814,10141
361.229,1.32866,34,0.0611851,22.2356,10141
367.868,1.35468,34,0.14162,22.9642,10141
374.52,1.38069,34,0.0594672,22.9528,10141
381.166,1.4067,34,0.00700428,23.6814,10141
387.827,1.43272,35,0.0611851,22.2356,10141
394.48,1.45873,35,0.14162,22.9642,10141
401.133,1.48474,35,0.0594672,22.9528,10141
407.778,1.51075,35,0.00700428,23.6814,10141
414.44,1.53677,36,0.0611851,22.2356,10141
421.107,1.56278,36,0.14162,22.9642,10141
427.76,1.58879,36,0.0594672,22.9528,10141
434.406,1.61481,36,0.00700428,23.6814,10141
441.067,1.64082,37,0.0611851,22.2356,10141
447.709,1.66683,37,0.14162,22.9642,10141
454.361,1.69285,37,0.0594672,22.9528,10141
461.007,1.71886,37,0.00700428,23.6814,10141
467.698,1.74487,38,0.0611851,22.2356,10141
474.339,1.77088,38,0.14162,22.9642,10141
481.018,1.7969,38,0.0594672,22.9528,10141
487.663,1.82291,38,0.00700428,23.6814,10141
494.325,1.84892,39,0.0611851,22.2356,10141
500.966,1.87494,39,0.14162,22.9642,10141
507.619,1.90095,39,0.0594672,22.9528,10141
514.263,1.92696,39,0.00700428,23.6814,10141
520.925,1.95298,40,0.0611851,22.2356,10141
527.566,1.97899,40,0.14162,22.9642,10141
534.218,2.005,40,0.0594672,22.9528,10141
540.893,2.03101,40,0.00700428,23.6814,10141
547.559,2.05703,41,0.0611851,22.2356,10141
554.203,2.08304,41,0.14162,22.9642,10141
560.86,2.10905,41,0.0594672,22.9528,10141
