Wall Clock,Time,Iteration,Deflection,Total Weight,Bar Number
7.07413,0.012006,0,0.00147621,108.049,10204
14.97,0.022011,1,0.00147789,100.54,10204
22.7214,0.032016,2,0.00148125,93.4192,10204
30.433,0.042021,3,0.00148711,86.6997,10204
37.9677,0.052026,4,0.00149497,80.5414,10204
45.3543,0.062031,5,0.00150606,74.6814,10204
52.7354,0.072036,6,0.00152216,69.3812,10204
60.0499,0.082041,7,0.00154092,64.4347,10204
67.3886,0.092046,8,0.00156721,59.8225,10204
75.1355,0.102051,9,0.00159887,55.5132,10204
82.558,0.112056,10,0.00164432,51.4778,10204
105.268,0.162061,11,0.00141258,68.9407,6590
111.04,0.172066,12,0.00141362,64.1686,6590
116.769,0.182071,13,0.00142362,59.733,6590
122.539,0.192076,14,0.00144828,55.4149,6590
128.273,0.202081,15,0.00149574,51.4894,6590
149.345,0.252086,16,0.00130945,70.3271,6714
155.198,0.262091,17,0.0013102,65.5364,6714
161.014,0.272096,18,0.00131866,60.9777,6714
166.797,0.282101,19,0.00134716,56.6826,6714
172.55,0.292106,20,0.00140042,52.5879,6714
193.208,0.342111,21,0.0011921,72.7701,6916
199.106,0.352116,22,0.00119355,67.7162,6916
204.922,0.362121,23,0.00120339,63.0213,6916
210.74,0.372126,24,0.00123554,58.4322,6916
216.863,0.382131,25,0.00127635,54.2382,6916
222.648,0.392136,26,0.00134944,50.2061,6916
244.134,0.442141,27,0.00116082,70.6182,6743
250.027,0.452146,28,0.00115979,65.7981,6743
255.815,0.462151,29,0.0011749,61.121,6743
261.61,0.472156,30,0.00121061,56.8214,6743
267.35,0.482161,31,0.00126952,52.6184,6743
289.554,0.532166,32,0.00107614,73.9711,7038
295.718,0.542171,33,0.00107166,68.8125,7038
301.76,0.552176,34,0.00108602,63.9651,7038
307.734,0.562181,35,0.00111599,59.3507,7038
313.658,0.572186,36,0.00117144,55.166,7038
319.589,0.582191,37,0.00125505,51.1183,7038
341.235,0.632196,38,0.00105655,70.6589,6731
347.215,0.642201,39,0.00105851,65.8,6731
353.043,0.652206,40,0.00107155,61.0745,6731
358.867,0.662211,41,0.00110711,56.8652,6731
364.73,0.672216,42,0.00117658,52.8638,6731
386.955,0.722221,43,0.000979363,74.3275,7078
393.096,0.732226,44,0.000982581,69.1699,7078
399.141,0.742231,45,0.000998143,64.4553,7078
405.476,0.752236,46,0.00103021,59.918,7078
411.507,0.762241,47,0.00108705,55.7153,7078
417.626,0.772246,48,0.00117397,51.4549,7078
439.475,0.822251,49,0.000964689,73.0447,6945
445.573,0.832256,50,0.000968638,68.093,6945
451.65,0.842261,51,0.000999284,63.4403,6945
457.676,0.852266,52,0.00102146,58.909,6945
463.582,0.862271,53,0.00109248,54.5982,6945
469.521,0.872276,54,0.00119755,50.4576,6945
496.18,0.922281,55,0.00103335,74.5967,7115
504.465,0.932286,56,0.00103109,69.4439,7115
511.014,0.942291,57,0.00103478,64.5744,7115
518.107,0.952296,58,0.00111182,60.0989,7115
524.121,0.962301,59,0.00115099,55.8301,7115
530.113,0.972306,60,0.00123738,51.8049,7115
553.589,1.02231,61,0.000965037,76.254,7287
560.54,1.03232,62,0.000977834,71.0142,7287
567.208,1.04232,63,0.000994822,66.0979,7287
573.725,1.05233,64,0.00103286,61.52,7287
579.812,1.06233,65,0.00110637,57.0609,7287
585.899,1.07234,66,0.00120184,52.8828,7287
611.166,1.12234,67,0.0009529,81.2069,7809
618.023,1.13235,68,0.000961784,75.6842,7809
625.413,1.14235,69,0.000976826,70.4876,7809
632.368,1.15236,70,0.00101535,65.7072,7809
642.015,1.16236,71,0.00105571,61.0441,7809
655.136,1.17237,72,0.00115498,56.61,7809
667.975,1.18237,73,0.00125864,52.5507,7809
731.96,1.23238,74,0.000944971,78.9311,7618
745.736,1.24238,75,0.000958249,73.5907,7618
758.92,1.25239,76,0.000968502,68.7102,7618
771.571,1.26239,77,0.000998692,63.9717,7618
784.515,1.2724,78,0.00104489,59.7201,7618
796.779,1.2824,79,0.00113053,55.4125,7618
808.755,1.29241,80,0.00126369,51.2773,7618
871.451,1.34241,81,0.000992346,77.2535,7451
885.867,1.35242,82,0.000996876,72.0687,7451
900.499,1.36242,83,0.00101408,67.2624,7451
913.64,1.37243,84,0.00104833,62.7457,7451
928.387,1.38243,85,0.00109642,58.4686,7451
940.723,1.39244,86,0.00117432,54.4187,7451
952.772,1.40244,87,0.00128389,50.3726,7451
1015.55,1.45245,88,0.00103612,77.2102,7418
1031.94,1.46245,89,0.00104588,71.8672,7418
1045.08,1.47246,90,0.0010516,66.8924,7418
1057.63,1.48246,91,0.00108273,62.2826,7418
1071.75,1.49247,92,0.00113052,57.9463,7418
1084.35,1.50247,93,0.00119468,53.8089,7418
1145.26,1.55248,94,0.000871358,84.5566,8144
1160.08,1.56248,95,0.000877326,78.858,8144
1174.71,1.57249,96,0.000888199,73.6147,8144
1188.73,1.58249,97,0.000914024,68.5212,8144
1201.88,1.5925,98,0.000952324,63.7229,8144
1215.37,1.6025,99,0.00100783,59.3088,8144
1230.28,1.61251,100,0.00111479,55.0318,8144
1242.47,1.62251,101,0.00122115,51.0144,8144
1309.89,1.67252,102,0.000960372,78.6175,7545
1323.89,1.68252,103,0.000970028,73.2426,7545
1336.76,1.69253,104,0.000978661,68.22,7545
1349.32,1.70253,105,0.000998824,63.5186,7545
1361.5,1.71254,106,0.00104145,59.0414,7545
1373.95,1.72254,107,0.00110738,54.8848,7545
1386.2,1.73255,108,0.00119004,50.7551,7545
1445.39,1.78255,109,0.000898969,79.3192,7620
1458.13,1.79256,110,0.00091172,73.9194,7620
1472,1.80256,111,0.000923355,68.8391,7620
1484.09,1.81257,112,0.000966739,64.0862,7620
1496.43,1.82257,113,0.00101716,59.6802,7620
1509.96,1.83258,114,0.00110948,55.3901,7620
1521.34,1.84258,115,0.0012409,51.2653,7620
1581.23,1.89259,116,0.00088687,80.2594,7744
1594.52,1.90259,117,0.000891166,74.6254,7744
1608.64,1.9126,118,0.000905978,69.552,7744
1620.94,1.9226,119,0.000938962,64.7361,7744
1633.46,1.93261,120,0.000981827,60.1517,7744
1647.21,1.94261,121,0.00111103,55.9201,7744
1658.74,1.95262,122,0.00126601,51.8681,7744
1718.66,2.00262,123,0.000918115,80.7686,7814
1732.14,2.01263,124,0.00091827,75.2676,7814
1745.2,2.02263,125,0.000936627,70.023,7814
1757.94,2.03264,126,0.000973822,65.2168,7814
1770.21,2.04264,127,0.00101332,60.6654,7814
1782.05,2.05265,128,0.00109047,56.4435,7814
1793.67,2.06265,129,0.00123689,52.4145,7814
1854.08,2.11266,130,0.000915576,81.4071,7840
1867.76,2.12266,131,0.000926626,75.6982,7840
1882.24,2.13267,132,0.000930948,70.4365,7840
1894.47,2.14267,133,0.000957816,65.5747,7840
1906.48,2.15268,134,0.00100624,61.0116,7840
1918.31,2.16268,135,0.00108006,56.7327,7840
1930.66,2.17269,136,0.00134347,52.4635,7840
1991.68,2.22269,137,0.00094607,79.7303,7698
2005.22,2.2327,138,0.000960302,74.3922,7698
2019.14,2.2427,139,0.00096576,69.2088,7698
2031.27,2.25271,140,0.000994356,64.3535,7698
2043.74,2.26271,141,0.0010257,59.9324,7698
2056.99,2.27272,142,0.0010922,55.6643,7698
2068.98,2.28272,143,0.00116985,51.6677,7698
2129.41,2.33273,144,0.000875549,80.6716,7800
2142.71,2.34273,145,0.000878862,75.2072,7800
2156.58,2.35274,146,0.000886942,69.9911,7800
2169.26,2.36274,147,0.000917378,65.1634,7800
2181.38,2.37275,148,0.000948297,60.596,7800
2193.32,2.38275,149,0.00105497,56.2163,7800
2205.12,2.39276,150,0.00116459,52.1712,7800
2266.24,2.44276,151,0.000853539,83.5541,8041
2281.57,2.45277,152,0.000856824,77.8072,8041
2295.02,2.46277,153,0.000868337,72.3998,8041
2307.55,2.47278,154,0.000897125,67.4207,8041
2321.16,2.48278,155,0.000931486,62.7427,8041
2333.12,2.49279,156,0.000975942,58.3417,8041
2345.5,2.50279,157,0.00108076,54.0076,8041
2408.44,2.5528,158,0.000821481,84.1881,8157
2422.12,2.5628,159,0.000824435,78.3888,8157
2436.9,2.57281,160,0.000838361,72.9872,8157
2449.64,2.58281,161,0.000855008,67.92,8157
2461.92,2.59282,162,0.000887333,63.2459,8157
2475.63,2.60282,163,0.000936912,58.9784,8157
2487.66,2.61283,164,0.00107758,54.7651,8157
2499.3,2.62283,165,0.00133473,50.6095,8157
2564.78,2.67284,166,0.000893022,80.4719,7784
2578.24,2.68284,167,0.000900729,74.9382,7784
2591.36,2.69285,168,0.000918831,69.8057,7784
2603.42,2.70285,169,0.000967817,64.981,7784
2615.5,2.71286,170,0.000975225,60.4741,7784
2627.13,2.72286,171,0.00105609,56.1215,7784
2638.62,2.73287,172,0.00122154,51.9601,7784
2701.49,2.78287,173,0.000910669,85.7333,8303
2716.14,2.79288,174,0.000916475,79.7479,8303
2729.63,2.80288,175,0.000928131,74.2639,8303
2742.53,2.81289,176,0.000951455,69.112,8303
2755.34,2.82289,177,0.000995212,64.2744,8303
2768.18,2.8329,178,0.00109074,59.7773,8303
2780.5,2.8429,179,0.00124516,55.5251,8303
2792.52,2.85291,180,0.00122852,51.3205,8303
2858.66,2.90291,181,0.000923578,81.182,7867
2871.93,2.91292,182,0.000929387,75.4834,7867
2885.86,2.92292,183,0.000942022,70.2965,7867
2898.21,2.93293,184,0.00095974,65.2906,7867
2910.25,2.94293,185,0.00100862,60.7264,7867
2922.11,2.95294,186,0.00105673,56.5067,7867
2933.82,2.96294,187,0.00116468,52.4346,7867
2997.18,3.01295,188,0.000905471,85.9865,8362
3011.88,3.02295,189,0.000912668,80.1675,8362
3025.24,3.03296,190,0.00091878,74.6559,8362
3037.92,3.04296,191,0.000932148,69.3835,8362
3050.65,3.05297,192,0.000958709,64.599,8362
3063.71,3.06297,193,0.000983167,59.9902,8362
3076.02,3.07298,194,0.00105363,55.6969,8362
3088.12,3.08298,195,0.00122097,51.5404,8362
3157.48,3.13299,196,0.000841116,88.5865,8633
3172.08,3.14299,197,0.000845821,82.5612,8633
3186.17,3.153,198,0.000857444,76.7329,8633
3199.35,3.163,199,0.000867884,71.359,8633
3212.28,3.17301,200,0.000895019,66.4271,8633
3224.87,3.18301,201,0.000944984,61.7091,8633
3237.18,3.19302,202,0.00101788,57.5503,8633
3249.83,3.20302,203,0.00115064,53.5085,8633
3321.7,3.25303,204,0.000873867,93.3415,9169
3336.94,3.26303,205,0.000883422,87.0046,9169
3351.46,3.27304,206,0.000890729,81.0454,9169
3365.97,3.28304,207,0.000897097,75.5066,9169
3379.4,3.29305,208,0.000915178,70.3149,9169
3392.49,3.30305,209,0.00097028,65.5651,9169
3405.21,3.31306,210,0.00110875,61.0456,9169
3418.02,3.32306,211,0.00114199,56.8534,9169
3431.13,3.33307,212,0.0011157,52.8169,9169
3506.64,3.38307,213,0.000871138,90.437,8836
3521.26,3.39308,214,0.000867353,84.21,8836
3535.37,3.40308,215,0.000885462,78.2618,8836
3549.62,3.41309,216,0.000897064,72.8372,8836
3563,3.42309,217,0.000916718,67.7856,8836
3575.83,3.4331,218,0.000967038,63.0618,8836
