Wall Clock,Time,Iteration,Deflection,Total Weight,Bar Number
15.704,0.022011,0,0.0014237,108.388,10224
34.4243,0.042021,1,0.00142543,100.873,10224
65.6486,0.062031,2,0.00142909,93.6024,10224
94.6799,0.082041,3,0.0014349,86.9699,10224
123.308,0.102051,4,0.00144335,80.826,10224
151.136,0.122061,5,0.00145476,75.0614,10224
177.816,0.142071,6,0.00146994,69.641,10224
200.416,0.162081,7,0.00149322,64.5822,10224
218.952,0.182091,8,0.0015198,59.8447,10224
240.972,0.202101,9,0.00155459,55.4374,10224
261.864,0.222111,10,0.00160421,51.5067,10224
282.879,0.242121,11,0.00166991,47.7255,10224
300.037,0.262131,12,0.00178448,44.1551,10224
321.037,0.282141,13,0.00194238,40.9578,10224
342.014,0.302151,14,0.00212585,37.9028,10224
362.997,0.322161,15,0.00248669,34.9443,10224
383.694,0.342171,16,0.00337516,32.1598,10224
404.249,0.362181,17,0.00491772,29.4647,10224
424.455,0.382191,18,0.0805153,26.9087,10224
445.792,0.402201,18,0.00536719,28.1932,10224
467.337,0.422211,19,0.0757774,25.83,10224
488.339,0.442221,19,0.00530447,27.0143,10224
509.9,0.462231,20,0.076813,24.8125,10224
529.011,0.482241,20,0.00679366,25.9169,10224
548.611,0.502251,21,0.0884041,23.7162,10224
571.06,0.522261,21,0.0355321,24.8322,10224
589.34,0.542271,21,nan,24.801,10224
607.184,0.562281,22,nan,22.9091,10224
624.754,0.582291,23,nan,21.0499,10224
641.716,0.602301,24,nan,19.3288,10224
659.727,0.622311,25,nan,17.647,10224
679.202,0.642321,26,nan,16.064,10224
697.215,0.662331,27,nan,14.5969,10224
715.641,0.682341,28,nan,13.3091,10224
734.553,0.702351,29,nan,12.8991,10224
