Wall Clock,Time,Iteration,Deflection,Total Weight,Bar Number
14.7619,0.028014,0,0.00144821,110.234,10361
29.6382,0.054027,1,0.00144903,104.672,10361
44.115,0.08004,2,0.00145088,99.3245,10361
58.2343,0.106053,3,0.00145382,94.2801,10361
71.9953,0.132066,4,0.00145781,89.4234,10361
85.3574,0.158079,5,0.00146351,84.7996,10361
98.452,0.184092,6,0.00146997,80.4066,10361
111.641,0.210105,7,0.0014789,76.2066,10361
124.319,0.236118,8,0.00148908,72.3447,10361
136.858,0.262131,9,0.00150238,68.6229,10361
149.063,0.288144,10,0.00151584,65.1446,10361
161.074,0.314157,11,0.00153333,61.7648,10361
172.795,0.34017,12,0.00155455,58.5824,10361
184.282,0.366183,13,0.00157728,55.5868,10361
195.579,0.392196,14,0.00160649,52.7101,10361
223.179,0.458209,15,0.0013783,70.4519,6741
234.519,0.484222,16,0.00137848,66.9607,6741
245.685,0.510235,17,0.00138132,63.6771,6741
256.673,0.536248,18,0.00138869,60.456,6741
267.515,0.562261,19,0.00141018,57.4231,6741
278.216,0.588274,20,0.00143908,54.5726,6741
306.071,0.654287,21,0.00120681,76.3808,7269
318.26,0.6803,22,0.00120689,72.7049,7269
329.618,0.706313,23,0.00120885,69.0077,7269
340.758,0.732326,24,0.00121539,65.5177,7269
351.746,0.758339,25,0.00122999,62.1766,7269
362.61,0.784352,26,0.00125459,59.069,7269
373.304,0.810365,27,0.00129147,56.0531,7269
383.861,0.836378,28,0.00134045,53.0451,7269
410.676,0.902391,29,0.00112905,72.2753,6877
422.205,0.928404,30,0.00112953,68.6947,6877
433.341,0.954417,31,0.00113789,65.3308,6877
444.308,0.98043,32,0.00115126,62.0073,6877
455.121,1.00644,33,0.00116795,58.8415,6877
465.797,1.03246,34,0.00119719,55.9268,6877
476.336,1.05847,35,0.00123967,53.0252,6877
504.356,1.12448,36,0.00102558,76.9075,7316
516.487,1.15049,37,0.00102735,73.2187,7316
527.897,1.17651,38,0.0010299,69.528,7316
539.098,1.20252,39,0.0010361,65.9916,7316
550.155,1.22853,40,0.00105051,62.6289,7316
561.034,1.25455,41,0.00107379,59.4531,7316
571.767,1.28056,42,0.00110395,56.4863,7316
582.355,1.30657,43,0.00115934,53.4751,7316
611.151,1.37259,44,0.000986548,77.8883,7403
623.578,1.3986,45,0.000986989,74.0784,7403
635.527,1.42461,46,0.000988989,70.4371,7403
647.276,1.45062,47,0.000995601,66.921,7403
