Wall Clock,Time,Iteration,Deflection,Total Weight,Bar Number
29.7174,0.022011,0,0.00146887,110.138,10384
58.8401,0.042021,1,0.0014705,102.44,10384
87.7108,0.062031,2,0.0014741,95.14,10384
115.582,0.082041,3,0.00148003,88.1997,10384
142.351,0.102051,4,0.00148878,81.9229,10384
165.251,0.122061,5,0.00150049,76.0758,10384
184.016,0.142071,6,0.00151844,70.4961,10384
203.999,0.162081,7,0.00154235,65.3955,10384
223.273,0.182091,8,0.00156924,60.7286,10384
241.634,0.202101,9,0.00160711,56.3927,10384
258.015,0.222111,10,0.00164891,52.2741,10384
305.324,0.282121,11,0.0014103,70.5739,6751
321.832,0.302131,12,0.00141091,65.6935,6751
337.722,0.322141,13,0.00142521,61.0621,6751
353.277,0.342151,14,0.00146076,56.7089,6751
368.591,0.362161,15,0.00151992,52.5149,6751
410.626,0.422171,16,0.00129565,71.8033,6854
428.094,0.442181,17,0.00129687,66.8781,6854
445.225,0.462191,18,0.00130558,62.2382,6854
460.99,0.482201,19,0.00133209,57.8712,6854
476.903,0.502211,20,0.00140467,53.7959,6854
520.885,0.562221,21,0.00116971,74.1333,7046
539.863,0.582231,22,0.00117052,68.9839,7046
556.352,0.602241,23,0.00118195,64.1367,7046
572.549,0.622251,24,0.00121064,59.7644,7046
588.278,0.642261,25,0.00126314,55.4621,7046
603.269,0.662271,26,0.00135479,51.3329,7046
650.361,0.722281,27,0.00109983,71.7008,6821
668.422,0.742291,28,0.00110141,66.7998,6821
684.955,0.762301,29,0.00111849,62.1027,6821
701.859,0.782311,30,0.00117428,57.7019,6821
713.319,0.802321,31,0.00122968,53.536,6821
741.712,0.862331,32,0.000996037,76.8991,7308
753.695,0.882341,33,0.00100003,71.5607,7308
765.064,0.902351,34,0.0010113,66.4985,7308
776.104,0.922361,35,0.00103698,61.9156,7308
786.888,0.942371,36,0.00108357,57.4682,7308
797.359,0.962381,37,0.00115458,53.2766,7308
826.361,1.02239,38,0.000957019,76.4231,7267
838.379,1.0424,39,0.000958712,71.1504,7267
849.888,1.06241,40,0.000970478,66.2328,7267
860.928,1.08242,41,0.0009964,61.5338,7267
871.664,1.10243,42,0.00104076,57.1264,7267
882.126,1.12244,43,0.00111419,53.0033,7267
911.232,1.18245,44,0.000915511,77.882,7422
923.43,1.20246,45,0.000916274,72.6192,7422
934.916,1.22247,46,0.000928137,67.568,7422
946.094,1.24248,47,0.00095296,62.8729,7422
956.961,1.26249,48,0.000985883,58.4461,7422
967.582,1.2825,49,0.00105939,54.2387,7422
998.696,1.34251,50,0.000860846,81.2301,7730
1011.69,1.36252,51,0.000865465,75.7412,7730
1023.75,1.38253,52,0.000875012,70.5016,7730
1035.23,1.40254,53,0.000905544,65.5735,7730
1046.36,1.42255,54,0.000961404,60.8469,7730
1057.18,1.44256,55,0.00102959,56.4381,7730
1067.83,1.46257,56,0.00119627,52.2332,7730
1098.46,1.52258,57,0.000879482,78.9533,7545
1111.16,1.54259,58,0.000883204,73.501,7545
1122.92,1.5626,59,0.000898141,68.4738,7545
1134.3,1.58261,60,0.00092618,63.7011,7545
1145.36,1.60262,61,0.000988349,59.2906,7545
1156.12,1.62263,62,0.0010764,54.934,7545
1187.12,1.68264,63,0.000846707,81.6034,7783
1200.07,1.70265,64,0.00085008,75.9827,7783
1212.07,1.72266,65,0.000860059,70.7862,7783
1223.65,1.74267,66,0.000881634,65.8528,7783
1234.9,1.76268,67,0.000930052,61.2227,7783
1245.84,1.78269,68,0.00103361,56.7696,7783
1256.44,1.8027,69,0.0011834,52.4885,7783
1287.04,1.86271,70,0.000849002,79.2485,7529
1299.53,1.88272,71,0.000851447,73.7951,7529
1311.24,1.90273,72,0.000863699,68.6395,7529
1322.63,1.92274,73,0.000895542,63.8982,7529
1333.64,1.94275,74,0.000960193,59.2488,7529
1344.33,1.96276,75,0.00106941,54.8897,7529
1374.98,2.02277,76,0.000864543,80.1218,7659
1387.99,2.04278,77,0.00086878,74.6234,7659
1399.96,2.06279,78,0.000878143,69.5358,7659
1411.49,2.0828,79,0.000908605,64.6534,7659
1423.07,2.10281,80,0.000966609,60.0554,7659
1433.91,2.12282,81,0.0010314,55.7212,7659
1444.47,2.14283,82,0.00118131,51.4316,7659
1475.91,2.20284,83,0.000881167,78.0776,7493
1488.85,2.22285,84,0.000886059,72.7567,7493
1500.82,2.24286,85,0.000903949,67.7892,7493
1512.27,2.26287,86,0.000931393,63.007,7493
1523.38,2.28288,87,0.000965803,58.597,7493
1534.22,2.30289,88,0.00106951,54.3788,7493
1565.69,2.3629,89,0.000796239,82.6576,7949
1578.98,2.38291,90,0.0008043,77.0685,7949
1591.34,2.40292,91,0.000812297,71.8465,7949
1603.43,2.42293,92,0.00083258,66.8789,7949
1615,2.44294,93,0.000866086,62.2757,7949
1626.24,2.46295,94,0.000977692,57.8503,7949
1637.13,2.48296,95,0.00108554,53.7362,7949
1669.62,2.54297,96,0.000833072,81.9215,7853
1682.97,2.56298,97,0.000834224,76.2364,7853
1695.21,2.58299,98,0.000859833,70.9543,7853
1706.99,2.603,99,0.000878732,66.0437,7853
1718.49,2.62301,100,0.000908341,61.4083,7853
1729.61,2.64302,101,0.000987646,57.061,7853
1740.41,2.66303,102,0.00108776,52.9173,7853
