Wall Clock,Time,Iteration,Deflection,Total Weight,Bar Number
88.2026,0.015251,0,0.00116583,210.651,14050
176.848,0.030401,1,0.00114813,199.725,14050
265.225,0.045551,2,0.00112784,189.733,14050
353.428,0.060701,3,0.00110777,180.289,14050
443.385,0.075851,4,0.00109241,171.073,14050
531.818,0.091001,5,0.00108854,162.403,14050
619.747,0.106151,6,0.00110069,154.105,14050
707.513,0.121301,7,0.00115084,146.128,14050
795.254,0.136451,8,0.00130363,138.695,14050
883.185,0.151601,9,0.0015692,131.711,14050
971.374,0.166751,10,0.00183445,124.919,14050
1059.22,0.181901,11,0.00228239,118.643,14050
1146.93,0.197051,12,0.00283878,112.637,14050
1234.25,0.212201,13,0.00356498,106.9,14050
1321.54,0.227351,14,0.00450978,101.441,14050
1408.72,0.242501,15,0.00568951,96.2646,14050
1495.85,0.257651,16,0.00724022,91.1997,14050
1582.99,0.272801,17,0.00873403,86.5428,14050
1670.64,0.287951,18,0.0106219,82.0875,14050
1757.66,0.303101,19,0.0126387,77.6939,14050
1844.69,0.318251,19,0.00319014,79.913,14050
1931.95,0.333401,20,0.00557295,75.8276,14050
2018.88,0.348551,21,0.00813618,71.7824,14050
2105.75,0.363701,22,0.0108981,68.1031,14050
2192.53,0.378851,23,nan,64.5087,14050
2279.76,0.394001,24,nan,61.0714,14050
2366.52,0.409151,25,nan,57.789,14050
2453.22,0.424301,26,nan,54.6914,14050
2539.88,0.439451,27,nan,51.7356,14050
2626.49,0.454601,28,nan,48.9794,14050
2713.13,0.469751,29,nan,46.058,14050
2799.94,0.484901,30,nan,43.3356,14050
2887.27,0.500051,31,nan,40.8923,14050
2973.85,0.515201,32,nan,38.6264,14050
3060.22,0.530351,33,nan,36.2303,14050
3146.38,0.545501,34,nan,34.0177,14050
3232.51,0.560651,35,nan,31.9386,14050
3319.29,0.575801,36,nan,29.7876,14050
3406.55,0.590951,37,nan,27.9627,14050
3494.48,0.606101,38,nan,25.9338,14050
3581.73,0.621251,39,nan,24.2022,14050
3668.83,0.636401,40,nan,22.2322,14050
