Wall Clock,Time,Iteration,Deflection,Total Weight,Bar Number
88.9117,0.015251,0,0.00080397,209.544,13953
177.47,0.030401,1,0.000777036,194.536,13953
266.132,0.045551,2,0.000747295,180.839,13953
354.327,0.060701,3,0.000718626,167.973,13953
442.237,0.075851,4,0.000697993,156.153,13953
529.354,0.091001,5,0.000691405,144.922,13953
616.958,0.106151,6,0.000706382,134.478,13953
703.783,0.121301,7,0.000855767,124.942,13953
791.085,0.136451,8,0.0012401,115.916,13953
877.781,0.151601,9,0.00174831,107.563,13953
965.33,0.166751,10,0.00230519,99.8641,13953
1051.85,0.181901,11,0.00324638,92.7351,13953
1138.84,0.197051,12,0.00446143,85.9692,13953
1225.32,0.212201,13,0.00585967,79.8718,13953
1312.18,0.227351,14,0.00766657,73.8769,13953
1398.48,0.242501,15,0.0100079,68.4947,13953
1485.28,0.257651,15,0.00296376,71.165,13953
1572.23,0.272801,16,0.00549811,66.1227,13953
