Wall Clock,Time,Iteration,Deflection,Total Weight,Bar Number
33.5703,0.010251,0,0.00217146,211.354,14115
65.7371,0.020301,1,0.00221134,196.172,14115
95.7442,0.030351,2,0.00224185,182.312,14115
124.126,0.040401,3,0.00226048,169.485,14115
150.372,0.050451,4,0.00229615,157.459,14115
175.004,0.060501,5,0.00234833,146.143,14115
198.307,0.070551,6,0.00241282,135.799,14115
220.084,0.080601,7,0.0024586,125.903,14115
240.608,0.090651,8,0.00262953,116.947,14115
259.853,0.100701,9,0.00281239,108.742,14115
277.989,0.110751,10,0.00304298,100.908,14115
295.027,0.120801,11,0.00342218,93.6764,14115
