Wall Clock,Time,Iteration,Deflection,Total Weight,Bar Number
57.3783,0.010201,0,0.00368697,203.05,13535
111.757,0.020301,1,0.00366232,188.497,13535
162.47,0.030401,2,0.00363429,175.265,13535
209.995,0.040501,3,0.00361245,162.904,13535
268.913,0.050601,4,0.00359601,151.036,13535
341.875,0.060701,5,0.0035894,140.175,13535
393.772,0.070801,6,0.00359206,130.045,13535
441.299,0.080901,7,0.00366138,120.795,13535
501.821,0.091001,8,0.00374987,112.201,13535
578.929,0.101101,9,0.00391453,104.013,13535
653.948,0.111201,10,0.00412141,96.6118,13535
682.237,0.121301,11,0.00444538,89.6213,13535
708.772,0.131401,12,0.00494442,83.0438,13535
733.736,0.141501,13,0.00553266,77.0647,13535
757.224,0.151601,14,0.00632465,71.3106,13535
779.334,0.161701,15,0.00729498,66.0241,13535
800.183,0.171801,16,0.00845099,61.0639,13535
819.807,0.181901,17,0.00997731,56.4801,13535
838.256,0.192001,18,0.0118267,52.0424,13535
855.65,0.202101,19,0.0141264,48.0198,13535
872.028,0.212201,20,0.0169785,44.4377,13535
887.458,0.222301,21,0.0209597,40.8491,13535
