Wall Clock,Time,Iteration,Deflection,Total Weight,Bar Number
246.291,0.062031,0,0.000528483,1531.08,201446
623.68,0.122061,1,1.67952e-05,1375.82,201446
938.849,0.182091,2,1.53379e-05,1236.31,201446
1218.75,0.242121,3,1.38267e-05,1110.93,201446
1452.68,0.302151,4,3.41785e-05,998.808,201446
1664.8,0.362181,5,0.000420225,898.123,201446
1848.47,0.422211,6,0.00117313,807.811,201446
2013.03,0.482241,7,0.00330068,726.157,201446
2162.01,0.542271,8,nan,652.717,201446
2297.93,0.602301,9,nan,586.084,201446
2423.11,0.662331,10,nan,524.623,201446
2540.08,0.722361,11,nan,468.59,201446
2650.2,0.782391,12,nan,418.36,201446
2753.64,0.842421,13,nan,372.57,201446
2852.59,0.902451,14,nan,330.734,201446
2946.97,0.962481,15,nan,292.58,201446
3036.79,1.02251,16,nan,258.399,201446
3123.3,1.08254,17,nan,226.941,201446
3205.78,1.14257,18,nan,198.625,201446
3285.05,1.2026,19,nan,172.554,201446
