Wall Clock,Time,Iteration,Deflection,Total Weight,Bar Number
151.511,0.101,0,0.0337647,706.455,65405
304.194,0.201,1,0.0671372,633.424,58865
436.864,0.301,2,0.100148,569.801,52979
555.613,0.401,3,0.13356,512.988,47682
661.541,0.501,4,0.167014,461.814,42914
762.229,0.601,5,0.202427,415.495,38621
854.102,0.701,6,0.240826,373.544,34753
990.536,0.803,7,0.280197,479.206,44493
1098.57,0.903,8,0.34117,422.511,39885
1192.44,1.003,9,0.444275,373.199,35719
1339.24,1.105,10,0.448238,494.635,47160
1460.36,1.205,11,0.563944,437.511,42221
1572.24,1.305,12,0.80326,386.567,37741
1667.9,1.405,13,1.1715,340.908,33752
1809.76,1.507,14,0.915558,508.961,48388
1922.11,1.607,15,1.11278,445.113,43503
2026.6,1.707,16,1.62108,390.297,39106
2119.96,1.807,17,2.09312,342.184,35124
2268.77,1.909,18,1.45998,563.553,52951
2389.39,2.009,19,1.72919,490.13,47633
2502.25,2.109,20,2.08713,426.274,42820
2605.34,2.209,21,2.66912,370.355,38489
2695.92,2.309,22,3.44297,321.665,34600
2856.31,2.411,23,2.2973,663.543,57079
2984.86,2.511,24,2.60676,569.208,51364
3102.67,2.611,25,3.01405,484.394,46203
3213.05,2.711,26,3.53593,410.821,41542
3311.51,2.811,27,4.27745,349.92,37334
3400.24,2.911,28,5.11709,299.46,33565
3569.59,3.013,29,4.99771,761.624,60115
3704.77,3.113,30,5.41183,643.363,54104
3828.68,3.213,31,5.94064,531.393,48694
3941.96,3.313,32,6.55379,438.753,43824
4047.25,3.413,33,7.32832,367.821,39431
4144.19,3.513,34,8.21336,310.287,35482
4330.35,3.615,35,4.72531,922.659,68785
4481.91,3.715,36,5.24415,784.997,61905
4619.78,3.815,37,5.94829,651.027,55715
4746.46,3.915,38,6.64031,535.25,50137
4860.96,4.015,39,7.36315,439.998,45124
4966.98,4.115,40,8.17656,365.73,40609
5064.89,4.215,41,9.36171,307.785,36512
5152.4,4.315,42,10.5454,262.909,32836
5353.97,4.417,43,7.69467,1045.01,71414
5515.38,4.517,44,8.32107,900.719,64266
5662.15,4.617,45,9.1167,754.618,57840
5796.99,4.717,46,10.0161,621.047,52056
5918.82,4.817,47,10.6725,507.335,46849
6032.84,4.917,48,11.5202,413.308,42165
6139.87,5.017,49,12.7985,335.255,37947
6236.68,5.117,50,14.4168,279.957,34127
