Wall Clock,Time,Iteration,Deflection,Total Weight,Bar Number
77.0172,0.101,0,0.0528718,709.443,65728
161.324,0.201,1,0.104559,634.233,59156
235.69,0.301,2,0.155391,570.709,53241
301.116,0.401,3,0.206221,514.283,47917
359.538,0.501,4,0.257531,463.254,43126
414.122,0.601,5,0.30846,416.799,38814
464.263,0.701,6,0.364367,375.013,34925
547.003,0.805,7,0.38968,479.327,44558
605.63,0.905,8,0.497376,422.938,40074
656.294,1.005,9,0.704296,373.645,35901
728.84,1.109,10,nan,500.207,47750
778.039,1.209,11,nan,451.065,42929
824.738,1.309,12,nan,405.532,38570
866.974,1.409,13,nan,364.476,34637
918.851,1.513,14,nan,326.907,31065
962.733,1.617,15,nan,292.847,27849
1004.98,1.721,16,nan,262.861,24957
1044.36,1.825,17,nan,235.623,22350
1079.98,1.929,18,nan,210.969,20006
1114.54,2.033,19,nan,188.328,17876
1148.2,2.137,20,nan,168.428,15987
1175.15,2.241,21,nan,150.437,14322
1201.55,2.345,22,nan,134.268,12793
1227.31,2.449,23,nan,120.163,11445
1252.6,2.553,24,nan,107.347,10212
1277.5,2.657,25,nan,95.4015,9107
