Wall Clock,Time,Iteration,Deflection,Total Weight,Bar Number
6.30639,0.018009,0,0.000175749,139.934,8184
12.5391,0.034017,1,0.000154677,129.802,8184
18.6822,0.050025,2,0.000135947,120.711,8184
24.6919,0.066033,3,0.000118747,112.273,8184
30.6134,0.082041,4,0.000105429,104.209,8184
36.4687,0.098049,5,0.000142132,96.605,8184
42.2657,0.114057,6,0.000151515,89.6538,8184
48.0057,0.130065,7,nan,83.2878,8184
53.6992,0.146073,8,nan,77.1965,8184
59.3355,0.162081,9,nan,71.6841,8184
64.9392,0.178089,10,nan,66.5449,8184
80.6297,0.234097,11,nan,85.4755,5058
84.787,0.250105,12,nan,79.543,5058
88.8707,0.266113,13,nan,73.8969,5058
92.932,0.282121,14,nan,68.5788,5058
108.966,0.338129,15,nan,87.5711,5185
113.475,0.354137,16,nan,81.4425,5185
117.851,0.370145,17,nan,75.8865,5185
122.154,0.386153,18,nan,70.4515,5185
126.373,0.402161,19,nan,65.3521,5185
142.212,0.458169,20,nan,85.8026,5090
146.687,0.474177,21,nan,79.9891,5090
151.086,0.490185,22,nan,74.3997,5090
155.406,0.506193,23,nan,69.1042,5090
171.298,0.562201,24,nan,90.8131,5369
175.801,0.578209,25,nan,84.3067,5369
180.195,0.594217,26,nan,78.5745,5369
184.571,0.610225,27,nan,73.069,5369
188.909,0.626233,28,nan,67.8807,5369
204.739,0.682241,29,nan,90.6277,5355
209.22,0.698249,30,nan,84.4416,5355
213.649,0.714257,31,nan,78.6408,5355
218.042,0.730265,32,nan,73.1764,5355
222.403,0.746273,33,nan,67.8716,5355
238.323,0.802281,34,nan,90.137,5329
242.839,0.818289,35,nan,83.9068,5329
247.238,0.834297,36,nan,78.1613,5329
251.584,0.850305,37,nan,72.598,5329
255.879,0.866313,38,nan,67.2814,5329
271.905,0.922321,39,nan,89.4128,5295
276.404,0.938329,40,nan,83.2743,5295
280.853,0.954337,41,nan,77.5349,5295
285.245,0.970345,42,nan,72.2603,5295
289.568,0.986353,43,nan,67.1018,5295
305.481,1.04236,44,nan,91.0671,5389
309.962,1.05837,45,nan,84.8813,5389
314.381,1.07438,46,nan,79.2817,5389
318.785,1.09039,47,nan,73.5239,5389
323.166,1.10639,48,nan,68.3234,5389
339.745,1.1624,49,nan,91.8254,5439
344.425,1.17841,50,nan,85.6161,5439
349.058,1.19442,51,nan,79.8394,5439
353.662,1.21042,52,nan,74.3187,5439
358.134,1.22643,53,nan,69.1611,5439
374.528,1.28244,54,nan,92.9255,5505
379.143,1.29845,55,nan,86.6212,5505
383.672,1.31446,56,nan,80.5813,5505
388.125,1.33046,57,nan,74.8319,5505
392.525,1.34647,58,nan,69.5985,5505
409.446,1.40248,59,nan,94.1172,5575
414.192,1.41849,60,nan,87.7291,5575
418.832,1.4345,61,nan,81.8359,5575
423.433,1.4505,62,nan,76.2168,5575
427.976,1.46651,63,nan,71.0382,5575
432.388,1.48252,64,nan,66.0086,5575
449.36,1.53853,65,nan,90.1424,5319
